role1_persona,role2_persona,original_dialogue,single_step_dialogue,generated_dialogue_topic
i just bought a brand new house. | i like to dance at the club. | i run a dog obedience school. | i have a big sweet tooth. | i like taking and posting selkies.,i love to meet new people. | i have a turtle named timothy. | my favorite sport is ultimate frisbee. | my parents are living in bora bora. | autumn is my favorite season.,"hello , how are you doing tonight ? | i am well an loving this interaction how are you ? | i am great . i just got back from the club . | this is my favorite time of the year season wise | i would rather eat chocolate cake during this season . | what club did you go to ? me an timothy watched tv | i went to club chino . what show are you watching ? | lol oh okay kind of random | do you live in a house or apartment ? | we watched a show about animals like him | i love those shows . i am really craving cake . | why does that matter any ? i went outdoors to play frisbee | it matters because i have a sweet tooth . | so ? lol i want to meet my family at home in bora | my family lives in alaska . it is freezing down there . | i bet it is oh i could not","role1: hello , how are you doing tonight ? | role2: i am well an loving this interaction how are you ? | role1: i am great . i just got back from the club . | role2: this is my favorite time of the year season wise | role1: i would rather eat chocolate cake during this season . | role2: what club did you go to ? me an timothy watched tv | role1: i went to club chino . what show are you watching ? | role2: lol oh okay kind of random | role1: do you live in a house or apartment ? | role2: we watched a show about animals like him | role1: i love those shows . i am really craving cake . | role2: why does that matter any ? i went outdoors to play frisbee | role1: it matters because i have a sweet tooth . | role2: so ? lol i want to meet my family at home in bora | role1: my family lives in alaska . it is freezing down there . | role2: i bet it is oh i could not","Role 1 and Role 2 engage in a casual conversation about their current activities and preferences. Role 1 shares that they just returned from a club and have a craving for chocolate cake due to their sweet tooth. They also mention their family lives in Alaska. Role 2, on the other hand, talks about watching a TV show about animals with their turtle, Timothy, playing frisbee outdoors, and their desire to meet their family in Bora Bora. They also discuss their favorite season and express curiosity about Role 1's living situation."
i am an old man. | i have a wheelchair that is modded to go very fast over many terrains. | i used to be in the military. | i only have one leg.,i drive a ford pickup truck. | i am very conservative. | my family lives down the street from me. | i go to church every sunday. | i have three guns and love hunting.,"how are you ? being an old man , i am slowing down these days | hi , my dad is old as well , they live close to me and i see them often | that is a great thing honor your dad with your presence | sure , i pick him up for church every sunday with my ford pickup | sounds wonderful my wheelchair can go very fast on various terrains | i guess that means you do not go hunting often ? i love hunting , i own 3 guns | hunting ? i served in the marines , yes i hunt | yeah me too , i am conservative so i love church and hunting | what do you like to hunt ? do you ever fish ? | fishing is good . i love fishing as well | fishing is a better choice sometimes for my one leg | yes that must be hard , i hope things get better for you | i enjoy life , it is what it is these days . | yes i agree . i try to enjoy life too , whenever i am not working | well , you better enjoying working so you can enjoy more of your time . | yeah but i go to church every sunday so my weekends are usually booked","role1: how are you ? being an old man , i am slowing down these days | role2: hi , my dad is old as well , they live close to me and i see them often | role1: that is a great thing honor your dad with your presence | role2: sure , i pick him up for church every sunday with my ford pickup | role1: sounds wonderful my wheelchair can go very fast on various terrains | role2: i guess that means you do not go hunting often ? i love hunting , i own 3 guns | role1: hunting ? i served in the marines , yes i hunt | role2: yeah me too , i am conservative so i love church and hunting | role1: what do you like to hunt ? do you ever fish ? | role2: fishing is good . i love fishing as well | role1: fishing is a better choice sometimes for my one leg | role2: yes that must be hard , i hope things get better for you | role1: i enjoy life , it is what it is these days . | role2: yes i agree . i try to enjoy life too , whenever i am not working | role1: well , you better enjoying working so you can enjoy more of your time . | role2: yeah but i go to church every sunday so my weekends are usually booked","Role 1, an old man with a fast wheelchair and a military background, and Role 2, a conservative who loves hunting and church, discuss their lives. Role 1 asks about Role 2's family and they talk about their respective modes of transportation. Role 2 mentions his love for hunting, which Role 1, a former marine, shares. They also discuss their fondness for fishing, with Role 1 noting it's easier for him due to his one leg. Role 2 expresses hope for Role 1's situation to improve. They both agree on the importance of enjoying life, despite Role 2's busy schedule due to work and church."
i met my best friend in kindergarten. | i am of the jewish faith. | i grew up in north dakota. | i got a job working in advertising last year. | i have traveled and studied abroad.,i have two dogs and one cat. | i work as a nurses aide in a nursing home. | i love to ride my bike. | i love caring for people.,"hey , are you a student , i traveled a lot , i even studied abroad | no , i work full time at a nursing home . i am a nurses aide . | nice , i just got a advertising job myself . do you like your job ? | nice . yes i do . caring for people is the joy of my life . | nice my best friend is a nurse , i knew him since kindergarten | very cool . do you have pets ? | no i do not , do you ? | yes . two dogs and a cat . they are my babies . | nice , where do you live ? i resign in north dakota | i live in texas . i love riding my bike here . | are you a christian ? i am jewish | yes i am . i have always been a christian . | i am jewish but i am not religious all that much | oh really ? so you do not go to church often ? | i mostly go to the mosque on my free time | i see . that is very cool . i enjoy hearing about other practices .","role1: hey , are you a student , i traveled a lot , i even studied abroad | role2: no , i work full time at a nursing home . i am a nurses aide . | role1: nice , i just got a advertising job myself . do you like your job ? | role2: nice . yes i do . caring for people is the joy of my life . | role1: nice my best friend is a nurse , i knew him since kindergarten | role2: very cool . do you have pets ? | role1: no i do not , do you ? | role2: yes . two dogs and a cat . they are my babies . | role1: nice , where do you live ? i resign in north dakota | role2: i live in texas . i love riding my bike here . | role1: are you a christian ? i am jewish | role2: yes i am . i have always been a christian . | role1: i am jewish but i am not religious all that much | role2: oh really ? so you do not go to church often ? | role1: i mostly go to the mosque on my free time | role2: i see . that is very cool . i enjoy hearing about other practices .","Role 1 and Role 2 discuss their personal lives and jobs. Role 1, who works in advertising and has studied abroad, asks Role 2, a nurse's aide, about her job. Role 2 expresses her love for caring for people. They discuss their pets and where they live, with Role 1 residing in North Dakota and Role 2 in Texas. They also discuss their religious beliefs, with Role 1 identifying as Jewish but not particularly religious, and Role 2 identifying as Christian. Role 1 also mentions attending a mosque in their free time, which Role 2 finds interesting."
i love having facial hair. | i hope to retire someday soon. | i keep things to myself instead of speaking my mind. | my left leg hurts me daily. | i love to ride horses.,i am happy being single and alone. | i only drink water. | i work in labor and delivery. | i do not want children.,"hi want to get to know each other ? | yes we got to act quickly | i am going for a horse ride tomorrow . do you like horses ? | i never have juice , just water . | is that hard for you ? i love sugar | yes i do i work on the baby floor an i want no kids lol | i am looking forward to retirement | no it is easy especially being single an i like it | well i have some heath issues , maybe i will try it | i do get it i do | will water help my circulation . i have an achy leg | yes get on it now | i will thank you for the advice | anytime are you okay now ? | yeah . it does not hurt oo bad . i still ride | do you where do you go ?","role1: hi want to get to know each other ? | role2: yes we got to act quickly | role1: i am going for a horse ride tomorrow . do you like horses ? | role2: i never have juice , just water . | role1: is that hard for you ? i love sugar | role2: yes i do i work on the baby floor an i want no kids lol | role1: i am looking forward to retirement | role2: no it is easy especially being single an i like it | role1: well i have some heath issues , maybe i will try it | role2: i do get it i do | role1: will water help my circulation . i have an achy leg | role2: yes get on it now | role1: i will thank you for the advice | role2: anytime are you okay now ? | role1: yeah . it does not hurt oo bad . i still ride | role2: do you where do you go ?","Role 1 and Role 2 engage in a conversation about their personal interests and lifestyles. Role 1 shares his love for horse riding and his anticipation for retirement, while also mentioning his health issues, particularly his achy leg. Role 2, who works in labor and delivery but doesn't want children, talks about her preference for drinking only water and being single. Role 2 also advises Role 1 that drinking water could help with his leg circulation. The dialogue ends with Role 1 thanking Role 2 for the advice and assuring her that his leg pain isn't too severe."
i love watching movies and tv. | i have a husband who i love very much. | i do not like exercise or physical activity. | my favorite food is ice cream. | i am a homebody.,i am afraid of heights. | i love animals and have two dogs. | i am native american and live in oklahoma. | i work as an attorney. | i am not religious.,"hey there . how are you ? | good , do you like animals ? | yeah , i like cats . i have one . | i have 2 dogs , they are great , where do you work ? | i stay at home with the kids . | are you afraid of heights ? i certainly am | no . do you like tv ? | sure i like tv , what do you watch ? | really anything , what about you ? | i do not have time to watch tv , i am an attorney so i work alot | i am not a very active person . | i certainly am , i am part native american , i live here in oklahoma | oh . tell me something about yourself . | well i do not like heights very much and i love animals . what about you ? | i am a boring person . | i am not much fun either . so what else is new with you ?","role1: hey there . how are you ? | role2: good , do you like animals ? | role1: yeah , i like cats . i have one . | role2: i have 2 dogs , they are great , where do you work ? | role1: i stay at home with the kids . | role2: are you afraid of heights ? i certainly am | role1: no . do you like tv ? | role2: sure i like tv , what do you watch ? | role1: really anything , what about you ? | role2: i do not have time to watch tv , i am an attorney so i work alot | role1: i am not a very active person . | role2: i certainly am , i am part native american , i live here in oklahoma | role1: oh . tell me something about yourself . | role2: well i do not like heights very much and i love animals . what about you ? | role1: i am a boring person . | role2: i am not much fun either . so what else is new with you ?","Role 1 and Role 2 engage in a casual conversation, discussing their personal lives and interests. Role 2 shares that they are an attorney, love animals, and have a fear of heights. They also mention being Native American and living in Oklahoma. Role 1 reveals that they stay at home with the kids, enjoy watching TV, and aren't very active. They also express a fondness for cats. Both characters admit to being somewhat boring in their lifestyles."
i am afraid of heights. | i work as an attorney. | i am not religious. | i love animals and have two dogs. | i am native american and live in oklahoma.,my favorite music is jazz. | i am a pediatrician. | i am married and have two kids of my own. | i love running and reading. | i also love vintage cars.,"hi how are you doing | i am well . how about you ? | i am good getting ready for work | me too . what do you do for a living ? | i am a lawyer long hours | i get that ! i am a doctor . pediatrics to be exact . do anything for fun ? | i like to go running with my dogs | me too ! well , i do not have any dogs , but i run everyday ! | its such a great way to exercise and spend time outside | yes , it helps me clear my mind . i also love to read to escape reality sometimes too | yeah ! what state do you live in | california . where do you live ? | oklahoma nice and flat i do not like heights | lol . i am scared of heights too . do you like to listen to music ? | yeah what are you listening to right now | jazz . i love the smooth tunes !","role1: hi how are you doing | role2: i am well . how about you ? | role1: i am good getting ready for work | role2: me too . what do you do for a living ? | role1: i am a lawyer long hours | role2: i get that ! i am a doctor . pediatrics to be exact . do anything for fun ? | role1: i like to go running with my dogs | role2: me too ! well , i do not have any dogs , but i run everyday ! | role1: its such a great way to exercise and spend time outside | role2: yes , it helps me clear my mind . i also love to read to escape reality sometimes too | role1: yeah ! what state do you live in | role2: california . where do you live ? | role1: oklahoma nice and flat i do not like heights | role2: lol . i am scared of heights too . do you like to listen to music ? | role1: yeah what are you listening to right now | role2: jazz . i love the smooth tunes !","Role 1 and Role 2 engage in a friendly conversation about their lives. Role 1, an attorney from Oklahoma, shares his love for running with his dogs, while Role 2, a pediatrician from California, enjoys running and reading. Both find running a great way to exercise and spend time outdoors. They also share a common fear of heights. Role 2 then asks Role 1 about his music preferences, revealing that he is currently listening to jazz."
i have two sons. | i am going to hairdresser school. | i collect vintage 50 s decorations. | i eat granola for breakfast every day. | i have an exotic fish aquarium.,i have a father and a brother. | my favourite food is sushi. | i listen to rap music. | i like to work out.,"hi , do you have sons ? i have two . | a younger brother and no children is all . besides dad | i will be in a school of hairdresser , i also own a fish aquarium | really . fish raw is my meal . what kind of fish ? | i love exotic fish , you have a nice family . | my family is nice . we spend time at the weight room a lot | i love the 1950 era and the decorations of that era | we work out to hip hop artists and i love the 1990 era | it is a nice family event and healthy too | yes it is . i cherish those moments . | you are so much younger than me | am i how much younger ? how old are you ? | i bet you do not eat granola in the morning | no i do not . only fruit and coconut juice . also , water and supplements | i eat that daily younger folks can not stand it | that is what is good for the body and spirit .","role1: hi , do you have sons ? i have two . | role2: a younger brother and no children is all . besides dad | role1: i will be in a school of hairdresser , i also own a fish aquarium | role2: really . fish raw is my meal . what kind of fish ? | role1: i love exotic fish , you have a nice family . | role2: my family is nice . we spend time at the weight room a lot | role1: i love the 1950 era and the decorations of that era | role2: we work out to hip hop artists and i love the 1990 era | role1: it is a nice family event and healthy too | role2: yes it is . i cherish those moments . | role1: you are so much younger than me | role2: am i how much younger ? how old are you ? | role1: i bet you do not eat granola in the morning | role2: no i do not . only fruit and coconut juice . also , water and supplements | role1: i eat that daily younger folks can not stand it | role2: that is what is good for the body and spirit .","Role 1 and Role 2 discuss their personal lives and interests. Role 1, a parent of two sons who is attending hairdresser school and has an exotic fish aquarium, asks Role 2 about his family. Role 2, who enjoys sushi and working out to rap music, shares that he has a brother but no children. They talk about their preferred eras in history, with Role 1 favoring the 1950s and Role 2 preferring the 1990s. They also discuss their breakfast habits; while Role 1 eats granola every day, Role 2 prefers fruit and coconut juice along with supplements."
i work at mcdonald s. | my parents did not want me. | its a dead end job so i am looking for something different. | i was raised by my uncle and aunt. | i am considering going to college.,i want to be successful. | i have got two more years in college. | i study law. | i have no siblings. | i am a student.,my mom had me in mcdonald bathroom when she was 12 | that is really sad . do you have any siblings | no . my uncle is the manager and took me home . | that was nice of him . i am almost done with college | he gave me a job at mcdonalds . i was considering college but i am good now . | i am almost done i only have two years left in law school . | you be smart . i would like to do something different but i team leader now . | that sounds important . maybe one day you will go back to school | i dropped out to work . maybe you can help me sure my mom for abandoning me ? | i do not know if we would be able to do anything because is has been so long | oh i am only 15 right now . is that too old ? | do not you have to be older than 15 to work at mcdonalds ? that sounds illegal | nah i do homeschool . uncle figured out how to make me work and takes the money . | that is horrible and verry illegal | really ? i am so glad i found you to help me . | i would love to help . i am not able to practice yet though,role1: my mom had me in mcdonald bathroom when she was 12 | role2: that is really sad . do you have any siblings | role1: no . my uncle is the manager and took me home . | role2: that was nice of him . i am almost done with college | role1: he gave me a job at mcdonalds . i was considering college but i am good now . | role2: i am almost done i only have two years left in law school . | role1: you be smart . i would like to do something different but i team leader now . | role2: that sounds important . maybe one day you will go back to school | role1: i dropped out to work . maybe you can help me sure my mom for abandoning me ? | role2: i do not know if we would be able to do anything because is has been so long | role1: oh i am only 15 right now . is that too old ? | role2: do not you have to be older than 15 to work at mcdonalds ? that sounds illegal | role1: nah i do homeschool . uncle figured out how to make me work and takes the money . | role2: that is horrible and verry illegal | role1: really ? i am so glad i found you to help me . | role2: i would love to help . i am not able to practice yet though,"Role 1, a McDonald's employee raised by his uncle, reveals he was born in a McDonald's bathroom when his mother was only 12. Role 2, a law student nearing graduation, sympathizes with Role 1's situation. Role 1 shares that he dropped out of school to work and his uncle takes his earnings. He also mentions wanting to sue his mother for abandonment. Role 2 informs him that the employment arrangement is illegal but admits she can't practice law yet to help him directly. Role 1 expresses gratitude for her willingness to assist him in the future."
i like to drink scotch to relax. | i am afraid of dogs. | i write short stories for a living. | i like dark superhero movies.,my mom is a secretary. | i have one brother. | i am a bodybuilder. | i like to eat a lot of meat.,"hi there , how are you tonight ? | great , i just finished a huge steak how are you ? | i am good , drinking some scotch . | i am major meat eater to build muscles | oh , i like meat ok . | scotch goes good with meat | scotch goes good with anything lol . | i have a brother who likes scotch | i am an only child . | i have just the one brother and 3 sisters | do you have any pets ? i am scared of dogs . | i have a cat and a dog you would not be scared of my dog | what do you do for a living ? | i am a secretary like my mom hard living and you ? | i am an author . i write short stories . | do you want to write a story about a major meat eating bodybuilder ?","role1: hi there , how are you tonight ? | role2: great , i just finished a huge steak how are you ? | role1: i am good , drinking some scotch . | role2: i am major meat eater to build muscles | role1: oh , i like meat ok . | role2: scotch goes good with meat | role1: scotch goes good with anything lol . | role2: i have a brother who likes scotch | role1: i am an only child . | role2: i have just the one brother and 3 sisters | role1: do you have any pets ? i am scared of dogs . | role2: i have a cat and a dog you would not be scared of my dog | role1: what do you do for a living ? | role2: i am a secretary like my mom hard living and you ? | role1: i am an author . i write short stories . | role2: do you want to write a story about a major meat eating bodybuilder ?","Role 1 and Role 2 engage in a casual conversation. Role 2 mentions he just finished a steak and is a big meat eater for bodybuilding, while Role 1 shares he's enjoying some scotch. They joke about how scotch pairs well with anything. Role 2 mentions he has a brother who likes scotch and three sisters, while Role 1 shares he's an only child. Role 1, who's afraid of dogs, asks about pets and Role 2 assures him his dog isn't scary. Role 1 reveals he's an author of short stories, and Role 2 suggests he write about a meat-eating bodybuilder."
i live in ohio. | i like to go hiking in my spare time. | i am a single mom of two boys. | i work as an accountant.,i like to go hunting. | i am a handyman. | i am allergic to shellfish. | i work for a company that rents properties. | i restore classic cars.,"how are you tonight , i just got back from hiking . | i am great ! that is cool , i just got home from hunting . | so we both like outdoors , i am in ohio . | i do like the outdoors . . . as well as restoring classic cars . i am in missouri . | when i am not in my office doing accounting , i am with my 2 boys . | that is good . i work as a handyman for a company that rents properties . | i wish i was handy , being a single mom and all . | i am a single parent as well . just me and my baby girl . | i would love a baby girl , it must be fun to go shopping ? | it is fun to go shopping for her | do you buy a lot of girl things , or more neutral ? | she happens to like pink a lot . . . | i like lavender , but the boys not so much . | lol . i have bought neutral colored items for her but she likes girly clothes .","role1: how are you tonight , i just got back from hiking . | role2: i am great ! that is cool , i just got home from hunting . | role1: so we both like outdoors , i am in ohio . | role2: i do like the outdoors . . . as well as restoring classic cars . i am in missouri . | role1: when i am not in my office doing accounting , i am with my 2 boys . | role2: that is good . i work as a handyman for a company that rents properties . | role1: i wish i was handy , being a single mom and all . | role2: i am a single parent as well . just me and my baby girl . | role1: i would love a baby girl , it must be fun to go shopping ? | role2: it is fun to go shopping for her | role1: do you buy a lot of girl things , or more neutral ? | role2: she happens to like pink a lot . . . | role1: i like lavender , but the boys not so much . | role2: lol . i have bought neutral colored items for her but she likes girly clothes .","Role 1, a single mother and accountant from Ohio who enjoys hiking, and Role 2, a handyman from Missouri who likes hunting and restoring classic cars, discuss their hobbies and family life. Role 1 mentions her two boys and her wish to be more handy, while Role 2 shares that he is also a single parent with a daughter who likes pink. They both enjoy outdoor activities and joke about their children's color preferences."
